"Include in Menu","Включете в менюто"
"Category Name","Име на Категорията"
"Content","Съдържание"
"Sort Products By","Подреди продуктите по"
"Use All","Използвайте всички"
"Default Product Sorting","Сортиране по подразбиране на продукта"
"Use Config Settings","Използвай Конфиг Настройки"
"Search Engine Optimization","Оптимизация за търсачки"
"Meta Title","Мета заглавие"
"Meta Keywords","Мета ключови думи"
"Meta Description","Мета Описание"
"Design","Дизайн"
"New Theme","Нова Тема"
"Layout","Оформление"
"Layout Update XML","Разпределение Update XML"
"Apply Design to Products","Нанесете Дизайн на продуктите"
"Save as a new update","Запазване като нова актуализация"
"Move to another scheduled change","Преместване в друга насрочена промяна"
"Delete the scheduled change","Изтриване на насрочената промяна"
"ID","ИН"
"Thumbnail","Thumbnail"
"Attribute Set","Attribute Set"
"Status","Статус"
"Type","Тип"
"SKU","Каталожен номер"
"Price","Цена"
"Update Informa1tion","Актуализирай информацията"
"Remove Product from Update","Извадете продукта от обновяване"
"Set Product as New","Задай продукта като Нов"
"Deleting the change will remove the product from this update and all scheduled changes will be lost.","Изтриването на промяната ще извади продукта от тази актуализация и всички планирани промени ще бъдат загубени."
"Products","Продукти"
"Categories","Categories"
"Path","Път"
"Quantity","Количество"
"Visibility","Видимост"
"Websites","Уебсайти""Create Permanent Redirect for old URL","Създаване на постоянно пренасочване за стари URL-и"
"Category URL Suffix","Наставка към URL на Категория"
"You need to refresh the cache.","Трябва да се обнови кеша."
"Product URL Suffix","Наставка към URL на Продукт""Conditions Combination","Комбинация от състояния"
"Product Attribute","Атрибут на продукта"
"SKU","Каталожен номер"
"Please choose a condition to add.","Моля изберете състояние да добавите."
"Add to Cart","Добави към количката"
"In stock","На склад"
"Out of stock","Няма наличност"
"Add to Wish List","Добави към списъка с желани"
"Add to Compare","Добави за сравнение"
"List of Products","Списък на продукти"
"Title","Заглавие"
"Number of Products per Page","Брой продукти на страница"
"Number of Products to Display","Брой на продукти за показване"
"Template","Шаблон"
"Cache Lifetime (Seconds)","Трайност на Кеша (секунди)"
"Conditions","Условия""Shopping Cart","Кошница"
"Invalid method: %1","Невалиден метод: %1"
"City","Град"
"Country","Държава"
"State/Province","Щат / Провинция"
"Zip/Postal Code","Пощенски Код"
"My Cart (1 item)","Моята кошница (1 артикул)"
"My Cart (%1 items)","Моята кошница ( %1 артикули)"
"My Cart","Моята кошница"
"Minimum order amount is %1","Минимално количество за поръчка е %1"
"Customer is already registered","Клиентът вече е регистриран"
"Your session has expired","Сесията ви е изтекла"
"You added %1 to your shopping cart.","Вие добавихте %1 към вашата кошница."
"We can't add this item to your shopping cart right now.","В момента не можем да добавим този артикул към кошницата ви."
"Out of stock","Няма наличност"
"We can't find the quote item.","Не можем да намерим артикула."
"We cannot configure the product.","Не можем да конфигурираме продукта."
"You used coupon code ""%1"".","Използвахте купон ""%1""."
"The coupon code ""%1"" is not valid.","Купонът ""%1"" е невалиден"
"You canceled the coupon code.","Отменихте купона."
"We cannot apply the coupon code.","Не можем да приложим купона."
"We can't remove the item.","Не можем да премахнем артикула."
"%1 was updated in your shopping cart."," %1 е актуализиран в кошницата."
"We can't update the item right now.","В момента не можем да актуализираме артикула."
"We can't update the shopping cart.","Не можем да актуализираме кошницата."
"Checkout","Checkout"
"Page not found.","Страницата не е намерена."
"Please agree to all the terms and conditions before placing the order.","Моля, приемете всички условия и условията, преди подаване на поръчката."
"Something went wrong while processing your order. Please try again later.","Нещо се обърка при обработката на вашата поръчка. Моля, опитайте отново по-късно."
"We can't find the product.","Не можем да намерим продукта."
"The product does not exist.","Продуктът не съществува."
"We don't have some of the products you want.","Не разполагаме с някои от продуктите, които искате."
"We don't have as many of some products as you want.","Не разполагаме с количеството от продукти, които искате."
"Quantity was recalculated from %1 to %2","Количеството беше преизчислено от %1 на %2"
"We adjusted product quantities to fit the required increments.","Коригирахме количеството продукти, за да съвпаднат с необходимите изисквания."
"This quote item does not exist.","Артикулът не съществува."
"Display number of items in cart","Показване на броя продукти в количката"
"Display item quantities","Покажи количествата на продуктите"
"Shipping address is not set","Не е посочен адрес за доставка."
"Unable to save address. Please, check input data.","Не можахме да запазим адреса. Моля, проверете входните данни."
"Unable to save shipping information. Please, check input data.","Не можахме да запазим информацията за доставка. Моля, проверете входните данни."
" item","артикул"
" items","артикули"
"Invalid data","Невалидни данни"
"The customer address is not valid.","Адресът на клиента е невалиден."
"Invalid shipping method","Невалиден начин за доставка"
"There are more than one shipping addresses.","Има повече от един адреси за доставка."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Трябва да потвърдите профила си. Моля, проверете електронната си поща за връзката за потвърждение или <a href=""%1"">натиснете тук</a> за нова връзка."
"Load customer quote error","Зареди грешката при цитат на продукта"
"Error message!","Съобщение за грешка!"
"Error!","Грешка!"
"Wrong minimum amount.","Грешно минимално количество."
"Message","Съобщение"
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Отпечатай касовата бележка</a>"
"Apply Discount Code","Нанесете код за отстъпка"
"Enter discount code","Въведете код за отстъпка"
"Apply Discount","Прилагане на отстъпка"
"Cancel Coupon","Отмяна на купона"
"Shopping Cart Items","Артикули в кошницата"
"Item","Артикул"
"Price","Цена"
"Qty","Количество"
"Subtotal","Междинна сума"
"Continue Shopping","Продължаване за пазаруване"
"Clear Shopping Cart","Изпразни кошницата"
"Update Shopping Cart","Актуализация на кошницата"
"Update Cart","Актуализация на кошницата"
"See price before order confirmation.","Вижте цената преди да потвърдите поръчката."
"What's this?","Какво е това?"
"Edit item parameters","Редактирайте параметрите на артикула"
"Edit","Редактирай"
"Remove item","Премахване на артикул"
"You have no items in your shopping cart.","Няма продукти в кошницата Ви."
"Click <a href=""%1"">here</a> to continue shopping.","Натиснете <a href=""%1"">тук</a>, за да продължите с пазаруването."
"Estimate Tax","Предполагаем Данък"
"Estimate Shipping and Tax","Приблизителна стойност на доставка и данъци"
"Excl. Tax","без ДДС"
"Loading...","Зарежда се ..."
"Order #","Поръчка #"
"Proceed to Checkout","Продължете към поръчване"
"Product Name","Продукт име"
"Incl. Tax","с ДДС"
"Your order number is: %1.","Номерът на поръчката е: %1."
"Your order # is: <span>%1</span>.","Вашата поръчка # е: <span> %1 </span>."
"We'll email you an order confirmation with details and tracking info.","Ще Ви изпратим имейл за потвърждение на поръчка с подробности и информация за проследяване."
"Payment Transaction Failed","Плащането по сделката не бе успешно"
"Reason","Причина"
"Checkout Type","Тип поръчка"
"Customer:","Клиент:"
"Items","Артикули"
"Total:","Обща сума:"
"Billing Address:","Адрес на плащане:"
"Shipping Address:","Адрес за доставка:"
"Shipping Method:","Начин на доставка:"
"Payment Method:","Начин на плащане:"
"Date & Time:","Дата и час:"
"Checkout Options","Опции за поръчка"
"Allow Guest Checkout","Разреши Нерегистрирани потребители да пазаруват"
"Require Customer To Be Logged In To Checkout","Изискване, клиентите да са влезли в профила си при поръчка"
"Quote Lifetime (days)","Валидност на офертата (в дни)"
"My Cart Link","Линк към моята кошница"
"Display Cart Summary","Покажи обобщена информация за кошницата"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Payment Failed Emails","Имейли за неуспешно плащане"
"Payment Failed Email Sender","Подател на имейлите за неуспешно плащане"
"Payment Failed Email Receiver","Получател на имейлите за неуспешно плащане"
"Payment Failed Template","Шаблон за неуспешно плащане"
"Send Payment Failed Email Copy To","Изпрати копие на имейлите за неуспешно плащане до"
"Separate by "","".","Разделено с "","""
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Shipping","В процес на доставка"
"Order Total","Обща сума на поръчката"
"Shipping Address","Адрес за доставка"
"Save Address","Запази Адрес"
"Cancel","Отмени"
"We'll send your order confirmation here.","Ще изпратим потвърждение на поръчката тук."
"For delivery questions.","За въпроси свързани с доставката."
"Payment","Плащане"
"Cart Subtotal","Междинна сума на кошницата"
"Not yet calculated","Все още не е изчислен"
"We received your order!","Получихме вашата поръчка!"
"Thank you for your purchase!","Благодарим ви за вашата покупка!""Terms and Conditions","Общи условия"
"Add New Condition","Ново Условие"
"Save Condition","Запази Условие"
"Delete Condition","Изтрий Условие"
"Edit Terms and Conditions","Редактирай Общите условия"
"New Terms and Conditions","Нови Общи условия"
"Terms and Conditions Information","Информация за общите условия"
"Condition Name","Име на условие"
"Status","Статус"
"Enabled","Активиран"
"Disabled","Неактивен"
"Show Content as","Показване на съдържанието, както"
"Text","Текст"
"HTML","HTML"
"Applied","Приложен"
"Store View","Изглед на магазин"
"Content","Съдържание"
"Content Height (css)","Височина на съдържанието (css)"
"Content Height","Височина на съдържанието"
"ID","ИН"
"Condition","Състояние"
"Sales","Продажби"
"Checkout Conditions","Условия за поръчката"
"Checkout Terms and Conditions","Общи условия за поръчката"
"This condition no longer exists.","Това условие вече не съществува."
"You deleted the condition.","Изтрихте това условие."
"Something went wrong  while deleting this condition.","Нещо се обърка при изтриването на това условие."
"Edit Condition","Редактирай условие"
"New Condition","Ново условие"
"You saved the condition.","Запазихте това условие."
"Something went wrong while saving this condition.","Нещо се обърка, докато запазването на това условие."
"Automatically","Автоматично"
"Manually","Ръчно"
"Please agree to all the terms and conditions before placing the order.","Моля, приемете всички условия, преди подаване на поръчката."
"Enable Terms and Conditions","Активиране на Общи условия""Static Blocks","Статични страници"
"Add New Block","Добавяне на нов Блок"
"Save Block","Запази Блок"
"Delete Block","Изтриване на Блок"
"Save and Continue Edit","Запази и продължи редакцията"
"Edit Block '%1'","Редактирай Блок '%1'"
"New Block","Нов Блок"
"Block Information","Блок информация"
"General Information","Основна информация"
"Block Title","Заглавие на Блок"
"Identifier","Идентификатор"
"Store View","Изглед на магазин"
"Status","Статус"
"Enabled","Активиран"
"Disabled","Неактивен"
"Content","Съдържание"
"ID","ИН"
"Title","Заглавие"
"Manage Pages","Управление на страници"
"Add New Page","Добавяне на нова страница"
"Save Page","Запазване на страница"
"Delete Page","Изтриване на страница"
"Edit Page '%1'","Редактирай Страница '%1'"
"New Page","Нова страница"
"Content Heading","Заглавие"
"Page Layout","Оформление на страница"
"Layout","Оформление"
"Layout Update XML","Layout Update XML"
"Custom Design","Персонализиран Дизайн"
"Custom Design From","Персонализиран Дизайн От"
"Custom Design To","Персонализиран Дизайн До"
"-- Please Select --","-- Моля, изберете --"
"Custom Theme","Персонализирана Тема"
"Custom Layout","Персонализирано Оформление"
"Design","Дизайн"
"Page Information","Информация за страницата"
"Page Title","Заглавие на страницата"
"Page Status","Статус на страницата"
"Meta Data","Мета данни"
"Keywords","Ключови думи"
"Meta Keywords","Мета ключови думи"
"Description","Описание"
"Meta Description","Мета Описание"
"Created","Създаден"
"Modified","Модифициран"
"Action","Действие"
"Preview","Преглед"
"Media Storage","Съхранение на Медийте"
"Create Folder...","Създай папка..."
"Delete Folder","Изтриване на папката"
"Delete File","Изтрий файла"
"Insert File","Добави Файл"
"New Folder Name:","Ново име на папката:"
"Are you sure you want to delete this folder?","Сигурни ли сте, че искате да изтриете тази папка?"
"Are you sure you want to delete this file?","Сигурни ли сте, че искате да изтриете този файл?"
"Images (%1)","Снимки (%1)"
"Storage Root","Главен път за съхранение"
"Home","Начало"
"Go to Home Page","Към началната страница"
"CMS","CMS"
"You deleted the block.","Този блок е итрит."
"We can't find a block to delete.","Не можем да намерим блок, който да изтриете."
"This block no longer exists.","Този блок вече не съществува."
"Edit Block","Редактиране на Блок"
"Blocks","Блокове"
"Please correct the data sent.","Моля, коригирайте изпратените данни."
"A total of %1 record(s) have been deleted.","Общо %1 запис(а) са били изтрити."
"You saved the block.","Запазихте блока."
"The page has been deleted.","Страницата е била изтрита."
"We can't find a page to delete.","Не можем да намерим страница, за да бъде изтрита."
"This page no longer exists.","Тази страница вече не съществува."
"Edit Page","Редактиране на страница"
"Pages","Страници"
"Something went wrong while saving the page.","Нещо се обърка, докато запазвахме страницата."
"A total of %1 record(s) have been disabled.","Общо %1 запис(а) са деактивирани."
"A total of %1 record(s) have been enabled.","Общо %1 запис(а) са активирани."
"You saved this page.","Страницата е запазена."
"The directory %1 is not writable by server.","Директория %1 не е достъпна за писане от сървъра."
"Make sure that static block content does not reference the block itself.","Уверете се, че съдържанието на статичния блок не се обръща към самия блок."
"CMS Block with id ""%1"" does not exist.","CMS Блок с идентификатор ""%1"" не съществува."
"Enabled by Default","Активирана по подразбиране"
"Disabled by Default","Изключена по подразбиране"
"Disabled Completely","Напълно изключен"
"We cannot create a new directory.","Не можем да създадем нова директория."
"We cannot delete directory %1.","Не можем да изтрием директория %1."
"We can't upload the file right now.","Не можем да качите файла в момента."
"We can't delete root directory %1 right now.","Не можем да изтрием главната директория %1 в момента."
"Could not create directory.","Не може да се създаде директория."
"All Store Views","Всички изгледи на магазини"
"Edit","Редактирай"
"Delete","Изтриване"
"Delete ${ $.$data.title }","Изтрий ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Сигурни ли сте, че искате да изтриете запис ${ $.$data.title }?"
"Details","Подробности"
"Delete ""${ $.$data.title }""","Изтрий ""${ $.$data.title }"""
"Are you sure you wan't to delete a \"${ $.$data.title }\" record?","Сигурни ли сте, че искате да изтриете запис \"${ $.$data.title }\"?"
"px.","px."
"No files found","Не са намерени файлове"
"Browse Files...","Прегледай файловете..."
"Collapse All","Свиване на всички"
"Expand All","Отваряне на всички"
"We could not detect a size.","Не можем да открием размера."
"CMS Home Page","CMS Начална страница"
"CMS No Route Page","CMS страница при грешка"
"CMS No Cookies Page","CMS странца за липса на бисквитки"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Show Notice if JavaScript is Disabled","Покажи Известие ако JavaScript е изключен"
"Show Notice if Local Storage is Disabled","Покажи Известие ако Local Storage е Изключена"
"Content Management","Управление на съдържанието"
"Enable WYSIWYG Editor","Активиране на WYSIWYG редактор"
"Link to a CMS Page","Линк към CMS Страница"
"CMS Page","CMS Страница"
"Select Page...","Изберете страница ..."
"If empty, the Page Title will be used","Ако празно, заглавието на страницата ще бъде използвано"
"Template","Шаблон"
"Select Block...","Изберете Блок..."
"Delete items","Изтриване на елементите"
"Are you sure you wan't to delete selected items?","Сигурни ли сте, че искате да изтриете избраните елементи?"
"Disable","Деактивирай"
"Enable","Активирай"
"Custom design from","Индивидуалният дизайн от"
"Custom design to","Индивидуалният дизайн до""This block no longer exists.","Този блок вече не съществува."
"You removed this %1 from the update and saved it in a new one.","Премахнахте тази %1 от актуализацията и го запазихте в нова."
"You removed this %1 from the update and saved it in the other one.","Премахнахте тази %1 от актуализацията и го запазихте в друга."
"You removed this %1 from the update.","Премахнахте тази %1 от актуализацията."
"Required parameters are missing.","Липсват задължителни параметри."
"You saved this %1 update.","Ти запази тази %1 актуализация."
"Something went wrong while saving the %1.","Нещо се обърка, докато запазвахме %1."
"Something went wrong","Нещо се обърка"
"Scheduled Changes","Планирани промени"
"Start Date","Стартова дата"
"Start Time","Време на започване"
"Name","Име"
"Description","Описание"
"Action","Действие"
"End Date","Крайна дата"
"End Time","Крайно време"
"Update Information","Актуализация Информация"
"Remove CMS block from Update","Премахване на CMS блок от обновяване"
"Save as a new update","Запазване като нова актуализация"
"Update Name","Актуализация Име"
"Start date","Начална дата"
"End date","Крайна дата"
"General Information","Основна информация"
"Enable Block","Активиране Block"
"Block Title","Заглавие на Блок"
"Identifier","Идентификатор"
"Store View","Изглед на магазин"
"Delete the scheduled change","Изтриване на насрочената промяна"
"Deleting the change will remove the block from this update and all scheduled changes will be lost.","Изтриването на промяната ще премахне блока от тази актуализация и всички планирани промени ще бъдат загубени."
"Remove CMS page from Update","Премахване на CMS страницата от обновяване"
"Enable Page","Активиране на страницата"
"Page Title","Заглавие на страницата"
"Content","Съдържание"
"Content Heading","Заглавие за съдържание"
"Search Engine Optimisation","Оптимизация за търсачки"
"Meta Keywords","Мета ключови думи"
"Meta Description","Мета Описание"
"Page in Websites","Страница в уеб сайтове"
"Design","Дизайн"
"Layout","Оформление"
"Layout Update XML","Layout Update XML"
"From","От"
"To","До"
"New Theme","Нова Тема"
"-- Please Select --","-- Моля, изберете --"
"New Layout","Ново оформление"
"Deleting the change will remove the page from this update and all scheduled changes will be lost.","Изтриването на промяната ще премахне страницата от тази актуализация и всички планирани промени ще бъдат загубени."
"CMS Pages","CMS Страници"
"CMS Blocks","CMS Блокове"
"ID","ИН"
"Title","Заглавие"
"Status","Статус""Page not found.","Страницата не е намерена."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Благодаря, че се свърза с нас с твоите коментари и въпроси. Ще ти отговорим възможно най-скоро."
"We can't process your request right now. Sorry, that's all we know.","В момента не можем да обработим заявката ти. За съжаление, това е всичко, което знаем."
"* Required Fields","* Задължителни полета"
"Write Us","Пишете ни"
"Jot us a note and we’ll get back to you as quickly as possible.","Напиши ни бележка и ние ще се свържем с теб възможно най-бързо."
"Name","Име"
"Email","Имейл"
"Phone Number","Телефонен номер"
"What’s on your mind?","За какво мислиш?"
"Submit","Подайте"
"Name: %name","Име: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Телефон: %telephone"
"Comment: %comment","Коментар: %comment"
"Contacts","Контакти"
"Contact Us","Свържете се с нас"
"Enable Contact Us","Активирай 'за контакти'"
"Email Options","опции на имейл"
"Send Emails To","Изпрати имейл до"
"Email Sender","Изпращач"
"Email Template","Темплейт на имейла""Invalid domain name: %1","Невалидно име на домейн: %1"
"Invalid cookie lifetime: %1","Невалиден живот на бисквитката: %1"
"Invalid cookie path","Невалиден път към бисквитката"
"We use cookies to make your experience better.","Ние използваме бисквитки, за да направите вашето преживяване по-добре."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","За да се съобразим с новата директива за електронна поверителност, Ви молим за Вашето съгласие да използваме бисквитки."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Научи повече</a>."
"Allow Cookies","Позволи бисквитки"
"Default Cookie Settings","Настройки на бисквитките по подразбиране"
"Cookie Lifetime","Живот на бисквитките"
"Cookie Path","Път към бисквитките"
"Cookie Domain","Домейн на бисквитките"
"Use HTTP Only","Use HTTP Only""Sign Out","Отписване"
"Sign In","Вход"
"You subscribe to our newsletter.","Можете да се абонирате за нашия бюлетин."
"You don't subscribe to our newsletter.","Вие не се абонирате за нашия бюлетин."
"You have not set a default shipping address.","Не сте задали адрес за доставка по подразбиране."
"You have not set a default billing address.","Не сте задали адрес за фактуриране подразбиране."
"Address Book","Книга с адреси"
"Edit Address","Редактирайте Адрес"
"Add New Address","Добави нов адрес"
"region","област"
"Create Order","Създаване на Поръчка"
"Save Customer","Запази клиент"
"Delete Customer","Изтрий клиент"
"New Customer","Нов Клиент"
"Save and Continue Edit","Запази и продължи редакцията"
"Back","Назад"
"Please select","Моля изберете"
"Reset","Нулиране"
"ID","ИН"
"Product","Продукт"
"SKU","Каталожен номер"
"Quantity","Количество"
"Price","Цена"
"Total","Обща сума"
"Action","Действие"
"Configure","Конфигуриране"
"Delete","Изтриване"
"Shopping Cart from %1","Кошница от %1"
"Newsletter","Бюлетин"
"Newsletter Information","Информация за бюлетина"
"Subscribed to Newsletter","Абонирани за бюлетина"
"Last Date Subscribed","Последна дата на абониране"
"Last Date Unsubscribed","Последна дата на отписване"
"No Newsletter Found","Не е намерена бюлетин"
"Start date","Начална дата"
"End Date","Крайна дата"
"Receive Date","Дата на получаване"
"Subject","Относно"
"Status","Статус"
"Sent","Изпратено"
"Cancel","Отмени"
"Not Sent","Не е изпратено"
"Sending","Изпращане"
"Paused","На пауза"
"View","Виж"
"Unknown","Неизвестно"
"Order","Поръчка"
"Purchased","Закупен"
"Bill-to Name","Име за фактуриране"
"Ship-to Name","Име за доставка"
"Order Total","Обща сума на поръчката"
"Customer View","Преглед на Потребител"
"There are no items in customer's shopping cart.","Няма артикули в кошницата на клиента."
"Qty","Количество"
"Confirmed","Потвърдено"
"Confirmation Required","Задължително Потвърждение"
"Confirmation Not Required","Потвърждение не се изисква"
"The customer does not have default billing address.","Клиентът не разполага с адрес за фактуриране по подразбиране."
"Offline","Извън линия"
"Online","На линия"
"Never","Никога"
"Deleted Stores","Изтрити Магазини"
"Add Date","Добави Дата"
"Days in Wish List","Дни в списъка с желани"
"No","Не"
"Yes","Да"
"Delete File","Изтрий файла"
"Download","Изтегли"
"Delete Image","Изтриване на снимката"
"View Full Size","Изглед в пълен размер"
"All countries","Всички страни"
"Customer Groups","Клиентски групи"
"Add New Customer Group","Добави нова клиентска група"
"Save Customer Group","Запази клиентска група"
"Delete Customer Group","Изтриване на клиентска група"
"New Customer Group","Нова клиентска група"
"Edit Customer Group ""%1""","Редактирай клиентска група ""%1"""
"Group Information","Информация за групата"
"Group Name","Име на групата"
"Maximum length must be less then %1 symbols","Максимална дължина трябва да е по-малко от %1 символа"
"Tax Class","Данъчен клас"
"The customer is now assigned to Customer Group %s.","Клиентът вече е добавен към клиентска група %s."
"Would you like to change the Customer Group for this order?","Бихте ли искали да се промени клиентската група за тази поръчка?"
"The VAT ID is valid.","Идентификационният номер по ДДС е валиден."
"The VAT ID entered (%s) is not a valid VAT ID.","Въведеният идентификационният номер по ДДС (%s) не е валиден идентификационен номер по ДДС."
"The VAT ID is valid. The current Customer Group will be used.","Идентификационният номер по ДДС е валиден. Ще се използва текущата клиентска група."
"The VAT ID is valid but no Customer Group is assigned for it.","Идентификационният номер по ДДС е валиден, но не е свързан с клиентска група."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Въз основа на идентификационния номер по ДДС, клиентът принадлежи към група клиенти %s."
"Something went wrong while validating the VAT ID.","Нещо се обърка при потвърждаването ИН по ДДС."
"The customer would belong to Customer Group %s.","Клиентът ще принадлежат към клиентска група %s."
"There was an error detecting Customer Group.","Имаше грешка при откриване на клиентска група."
"Validate VAT Number","Валидиране на ДДС номер"
"Customer Login","Вход за Потребител"
"Create New Customer Account","Създаване на нова сметка на клиенти"
"Date of Birth","Дата на раждане"
"Bad request.","Неправилна заявка."
"This confirmation key is invalid or has expired.","Този ключ за потвърждение е невалиден или е с изтекъл срок."
"There was an error confirming the account","Имаше грешка при потвърждаване на профила"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Ако сте регистриран клиент ДДС, моля, кликнете <a href=""%1"">тук</a>, за да въведете вашия адрес за доставка, с цел правилно изчисляване на ДДС."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Ако сте регистриран клиент ДДС, моля, кликнете <a href=""%1"">тук</a>, за да въведете вашия адрес за плащане, с цел правилно изчисляване на ДДС."
"Thank you for registering with %1.","Благодарим ви, че се регистрирахте в %1."
"Please check your email for confirmation key.","Моля, проверете електронната си поща за ключ за потвърждение."
"This email does not require confirmation.","Този имейл не изисква потвърждение."
"Wrong email.","Грешен имейл."
"Your password reset link has expired.","Ключът за нулиране на паролата е с изтекъл срок."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Трябва да потвърдите профила си. Моля, проверете електронната си поща за връзка за потвърждение или <a href=""%1"">натиснете тук</a> за нова връзка."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Вече има профил с този имейл адрес. Ако сте сигурни, че това е вашия имейл адрес, <a href=""%1"">натиснете тук</a>, за да получите парола и достъп до профила си."
"We can't save the customer.","Не можем да запазим клиента"
"Please make sure your passwords match.","Моля, уверете се, че вашите пароли съвпадат."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Ако сте регистриран клиент по ДДС, моля, <a href=""%1"">натиснете тук</a>, за да въведете вашия адрес за доставка за правилното изчисляване на ДДС."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Ако сте регистриран клиент по ДДС, моля, <a href=""%1"">натиснете тук</a>, за да въведете вашия адрес за плащане за правилното изчисляване на ДДС."
"Account Information","Информация за акаунта"
"Invalid input","Невалидни данни"
"You saved the account information.","Запазихте информацията за акаунта."
"Please enter new password.","Моля, въведете нова парола."
"Confirm your new password.","Потвърждаване на новата парола."
"Something went wrong while changing the password.","Нещо се обърка при смяна на паролата."
"Please correct the email address.","Моля, коригирайте имейл адреса."
"We're unable to send the password reset email.","Не сме в състояние да изпратим имейл на нулиране на паролата."
"Please enter your email.","Моля въведете своя Email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ако има профил, свързан с %1 ще получите имейл с линк да промените паролата си."
"My Account","My Account"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Този профил не е потвърден. <a href=""%1"">Кликнете тук</a>, за да изпратите имейл за потвърждение."
"Invalid login or password.","Невалиден потребител или парола."
"A login and a password are required.","Изисква се потребителско име и парола."
"New Password and Confirm New Password values didn't match.","Нова парола и Потвърждение за нова парола стойности не съвпадат."
"Please enter a new password.","Моля, въведете нова парола."
"You updated your password.","Обновихте паролата си."
"Something went wrong while saving the new password.","Нещо се обърка, докато запазвахме новата парола."
"You deleted the address.","Изтрихте адреса."
"We can't delete the address right now.","В момента не можете да изтриете адреса."
"You saved the address.","Запазихте адреса."
"We can't save the address.","Не можем да запазим адреса."
"No customer ID defined.","Не е дефиниран клиентски ИН."
"You deleted the customer group.","Изтрихте клиентската група"
"The customer group no longer exists.","Клиентската група вече не съществува."
"Customers","Потребители"
"New Group","Нова група"
"New Customer Groups","Нова класация на групи"
"Edit Group","Редактиране на групата"
"Edit Customer Groups","Редактиране потребителски групи"
"You saved the customer group.","Запазихте клиентската група."
"Please select customer(s).","Моля изберете клиент(и)."
"Customer could not be deleted.","Клиентът не може да бъде изтрит."
"You deleted the customer.","Изтрихте клиента."
"Something went wrong while editing the customer.","Нещо се обърка при редактиране на клиента."
"Manage Customers","Управление на клиентите"
"Please correct the data sent.","Моля, коригирайте изпратените данни."
"A total of %1 record(s) were updated.","Общо %1 запис(а) бяха актуализирани."
"A total of %1 record(s) were deleted.","Общо %1 запис(а) бяха изтрити."
"The customer will receive an email with a link to reset password.","Клиентът ще получите имейл с линк, за да възстанови паролата си."
"Something went wrong while resetting customer password.","Нещо се обърка докато нулирахте паролата на клиента."
"You saved the customer.","Запазихте клиента."
"Something went wrong while saving the customer.","Нещо се обърка, докато запазвахте клиента."
"Page not found.","Страницата не е намерена."
"Online Customers","Онлайн Клиенти"
"Customers Now Online","Клиентите, които са онлайн в момента"
"Login successful.","Успешен вход."
"No confirmation needed.","Няма нужда от потвърждение."
"Account already active","Профилът вече е активен"
"This account is not confirmed.","Този профил не е потвърден."
"This customer already exists in this store.","Този клиент вече съществува в магазина."
"A customer with the same email already exists in an associated website.","Клиент със същия имейл адрес вече съществува в сайта."
"The password doesn't match this account.","Паролата не съвпада с тази акаунт."
"Please enter a password with at least %1 characters.","Моля, въведете паролата с поне %1 знака."
"The password can't begin or end with a space.","Паролата не може да започва или завършва с интервал."
"Please enter the first name.","Моля, въведете собствено име."
"Please enter the last name.","Моля, въведете фамилното име."
"Please enter the street.","Моля, въведете името на улицата."
"Please enter the city.","Моля, въведете града."
"Please enter the phone number.","Моля, въведете телефонния номер."
"Please enter the zip/postal code.","Моля, въведете пощенски код."
"Please enter the country.","Моля, въведете страната."
"Please enter the state/province.","Моля, въведете област."
"""%1"" is a required value.","""%1"" е задължително поле."
"Global","Глобален"
"Per Website","По Website"
"Billing Address","Адрес по сметка"
"Shipping Address","Адрес за доставка"
"-- Please Select --","-- Моля, изберете --"
"Please enter a first name.","Моля, въведете собствено име."
"Please enter a last name.","Моля, въведете фамилно име."
"Please correct this email address: ""%1"".","Моля, поправете този имейл адрес: ""%1""."
"Please enter a date of birth.","Моля, въведете дата на раждане."
